campaign_id,platform,brand_category,influencer_id,influencer_handle,influencer_tier,total_spend,revenue,roas,curve_k,curve_alpha,curve_beta
CMP_00509,TikTok,Fintech,INF_2428,@creator_47146,Macro,963007.06,3606551.94,3.75,1.813,1.32,0.842
CMP_00510,YouTube,Fintech,INF_2108,@creator_96282,Nano,30973.58,73179.25,2.36,2.135,1.182,0.985
CMP_00511,Instagram,Fitness,INF_5071,@creator_78322,Nano,22970.76,85997.13,3.74,2.199,1.17,1.036
CMP_00512,YouTube,Beauty,INF_3975,@creator_84777,Micro,186763.94,406318.46,2.18,1.299,1.277,0.525
CMP_00513,TikTok,Food,INF_3017,@creator_17957,Macro,486362.05,1343085.48,2.76,1.063,1.092,0.991
CMP_00514,TikTok,Gaming,INF_9699,@creator_65311,Micro,99684.09,373472.44,3.75,1.836,1.349,0.611
CMP_00515,TikTok,Beauty,INF_7614,@creator_20929,Nano,57388.27,222018.39,3.87,1.712,1.326,0.515
CMP_00516,TikTok,Beauty,INF_4161,@creator_71892,Nano,27626.63,108917.33,3.94,1.855,1.106,0.954
CMP_00517,YouTube,Beauty,INF_3233,@creator_69789,Micro,196438.84,404710.0,2.06,2.169,1.329,0.658
CMP_00518,Instagram,Beauty,INF_8799,@creator_18804,Nano,51665.72,186817.1,3.62,2.115,1.392,0.7
CMP_00519,Instagram,Beauty,INF_8906,@creator_56073,Nano,37421.71,118248.45,3.16,1.164,1.154,0.693
CMP_00520,Instagram,Fitness,INF_2672,@creator_38251,Macro,764823.12,2722638.85,3.56,1.475,1.221,0.509
CMP_00521,YouTube,Fashion,INF_7957,@creator_99630,Macro,523457.71,983783.62,1.88,2.812,1.094,0.466
CMP_00522,Instagram,Fashion,INF_9328,@creator_98290,Macro,992387.72,2847587.61,2.87,1.53,1.285,0.281
CMP_00523,Instagram,D2C,INF_1938,@creator_93569,Nano,31699.8,139173.16,4.39,1.627,1.267,0.754
CMP_00524,TikTok,Gaming,INF_4345,@creator_25357,Macro,658582.39,2235907.9,3.4,1.975,1.269,1.024
CMP_00525,Instagram,Food,INF_9212,@creator_21434,Micro,299036.19,985325.89,3.3,2.331,1.223,0.761
CMP_00526,Instagram,Gaming,INF_5466,@creator_97458,Micro,92303.8,334346.81,3.62,1.284,1.068,0.603
CMP_00527,Instagram,Fitness,INF_4083,@creator_10769,Macro,806139.99,2032367.49,2.52,2.016,1.225,0.346
CMP_00528,Instagram,Gaming,INF_2313,@creator_17847,Micro,286245.86,1107145.31,3.87,2.384,1.105,0.495
CMP_00529,TikTok,Fintech,INF_4867,@creator_86154,Nano,40232.75,154331.45,3.84,1.805,1.068,0.452
CMP_00530,YouTube,Beauty,INF_4174,@creator_40782,Nano,42401.19,92349.7,2.18,1.303,1.329,0.776
CMP_00531,YouTube,Fashion,INF_6609,@creator_61153,Mega,1709862.4,2617563.1,1.53,2.006,1.223,0.333
CMP_00532,Instagram,Food,INF_1834,@creator_42214,Micro,276674.07,1070116.56,3.87,2.84,1.083,0.696
CMP_00533,Instagram,Fashion,INF_4110,@creator_68703,Nano,39664.83,152721.84,3.85,1.231,1.186,0.351
CMP_00534,Instagram,Tech,INF_6578,@creator_64703,Mega,2001753.21,4269967.93,2.13,2.963,1.084,0.508
CMP_00535,Instagram,Beauty,INF_1235,@creator_88006,Macro,842557.26,2677880.82,3.18,2.244,1.262,0.861
CMP_00536,Instagram,Food,INF_2823,@creator_82388,Nano,26149.78,79827.41,3.05,2.071,1.08,0.524
CMP_00537,YouTube,Fashion,INF_6127,@creator_18998,Nano,49116.0,82004.07,1.67,2.556,1.184,0.641
CMP_00538,YouTube,Beauty,INF_6997,@creator_61507,Macro,809895.74,1360607.42,1.68,1.633,1.17,0.491
CMP_00539,YouTube,Fitness,INF_1064,@creator_19491,Micro,159073.24,326075.02,2.05,1.163,1.118,1.027
CMP_00540,Instagram,Fitness,INF_5259,@creator_46390,Nano,45290.67,169694.01,3.75,1.189,1.094,0.607
CMP_00541,Instagram,Food,INF_4306,@creator_45670,Micro,171895.88,523973.55,3.05,1.146,1.146,0.965
CMP_00542,Instagram,Fashion,INF_9281,@creator_35032,Micro,180805.06,451804.08,2.5,2.89,1.286,0.325
CMP_00543,Instagram,Food,INF_2678,@creator_27127,Macro,652603.6,1992737.51,3.05,2.66,1.282,0.58
CMP_00544,Instagram,Beauty,INF_5070,@creator_13650,Micro,298202.99,1090243.75,3.66,1.532,1.342,0.596
CMP_00545,Instagram,Food,INF_6501,@creator_71082,Nano,39771.82,130890.96,3.29,1.881,1.35,0.829
CMP_00546,Instagram,Fitness,INF_9071,@creator_63413,Micro,171021.24,507669.02,2.97,1.598,1.312,0.384
CMP_00547,Instagram,Gaming,INF_9593,@creator_27358,Nano,50306.93,172400.49,3.43,2.977,1.213,0.299
CMP_00548,TikTok,Gaming,INF_3803,@creator_68453,Macro,814333.27,3587102.63,4.4,1.504,1.222,0.386
CMP_00549,TikTok,Tech,INF_8213,@creator_54223,Micro,135528.38,741343.87,5.47,2.314,1.119,0.561
CMP_00550,Instagram,Food,INF_1966,@creator_76425,Macro,601240.22,1520461.65,2.53,1.641,1.367,0.427
CMP_00551,Instagram,Food,INF_5607,@creator_13985,Micro,267433.24,659215.24,2.46,1.713,1.141,0.98
CMP_00552,YouTube,Beauty,INF_1356,@creator_51831,Micro,196199.1,405111.12,2.06,1.254,1.257,0.733
CMP_00553,Instagram,D2C,INF_1877,@creator_94790,Nano,33061.99,111043.0,3.36,2.932,1.096,0.453
CMP_00554,Instagram,Beauty,INF_4863,@creator_98074,Mega,1071931.51,2294086.66,2.14,2.317,1.15,0.611
CMP_00555,Instagram,Beauty,INF_8869,@creator_66862,Macro,809013.97,2384884.61,2.95,2.962,1.104,0.395
CMP_00556,Instagram,Beauty,INF_6755,@creator_46370,Micro,97604.02,267444.43,2.74,1.719,1.35,0.386
CMP_00557,TikTok,Fitness,INF_4740,@creator_25210,Micro,181187.23,531893.69,2.94,2.214,1.116,1.186
CMP_00558,Instagram,D2C,INF_4845,@creator_58137,Micro,177254.57,622083.66,3.51,1.668,1.233,0.57
CMP_00559,Instagram,D2C,INF_3979,@creator_33524,Nano,72884.62,238902.08,3.28,2.187,1.263,0.584
CMP_00560,Instagram,Fintech,INF_1665,@creator_42694,Nano,52985.87,182499.4,3.44,1.905,1.109,0.815
CMP_00561,Instagram,Fitness,INF_2102,@creator_76133,Macro,360633.83,874101.15,2.42,2.338,1.194,0.513
CMP_00562,Instagram,Gaming,INF_5798,@creator_49373,Micro,86407.23,338582.14,3.92,2.538,1.366,0.591
CMP_00563,Instagram,Food,INF_5311,@creator_58075,Micro,147837.47,433869.56,2.93,2.739,1.317,0.384
CMP_00564,Instagram,Tech,INF_3098,@creator_42471,Micro,104910.87,303398.23,2.89,1.813,1.22,0.709
CMP_00565,YouTube,Fashion,INF_6574,@creator_48179,Micro,110447.47,268962.56,2.44,2.332,1.234,0.774
CMP_00566,Instagram,Food,INF_1270,@creator_36370,Micro,212435.9,732162.75,3.45,2.395,1.082,0.57
CMP_00567,TikTok,Fashion,INF_4985,@creator_22881,Nano,39237.19,167400.17,4.27,1.357,1.134,0.475
CMP_00568,Instagram,Fashion,INF_3514,@creator_46737,Nano,43283.51,146316.7,3.38,2.592,1.157,0.379
CMP_00569,Instagram,Gaming,INF_9215,@creator_45771,Macro,392196.67,1137944.54,2.9,2.717,1.272,0.461
CMP_00570,Instagram,Fitness,INF_2564,@creator_50100,Nano,51774.36,193083.78,3.73,1.802,1.154,0.67
CMP_00571,Instagram,Fashion,INF_2439,@creator_32553,Macro,763302.22,2415444.4,3.16,1.711,1.333,0.492
CMP_00572,Instagram,Fashion,INF_7728,@creator_71779,Macro,681558.39,1991491.27,2.92,2.323,1.366,0.321
CMP_00573,TikTok,Beauty,INF_7382,@creator_28895,Nano,37471.79,180346.44,4.81,2.545,1.076,0.828
CMP_00574,Instagram,Tech,INF_1238,@creator_42275,Micro,80903.36,263179.89,3.25,1.022,1.196,0.408
CMP_00575,TikTok,Gaming,INF_3592,@creator_66866,Macro,903290.68,2012478.33,2.23,1.954,1.398,0.511
CMP_00576,Instagram,D2C,INF_5331,@creator_62186,Nano,70211.81,231121.62,3.29,2.145,1.4,0.443
CMP_00577,Instagram,Beauty,INF_2465,@creator_96029,Micro,194425.39,657546.86,3.38,2.221,1.143,0.478
CMP_00578,Instagram,Tech,INF_6641,@creator_44470,Micro,158103.36,516864.91,3.27,1.964,1.226,0.531
CMP_00579,Instagram,Tech,INF_9974,@creator_20974,Nano,79891.7,321945.42,4.03,1.376,1.102,0.359
CMP_00580,Instagram,Gaming,INF_7458,@creator_45524,Macro,369834.49,825112.55,2.23,1.109,1.283,0.824
CMP_00581,TikTok,Fitness,INF_8382,@creator_62683,Micro,194471.2,716893.25,3.69,2.95,1.388,0.563
CMP_00582,YouTube,Tech,INF_4377,@creator_97948,Nano,43257.48,88334.1,2.04,1.646,1.377,0.585
CMP_00583,Instagram,Food,INF_3889,@creator_19569,Macro,359785.94,999124.78,2.78,2.819,1.118,0.553
CMP_00584,Instagram,Gaming,INF_3322,@creator_53516,Nano,56146.47,224211.26,3.99,1.214,1.228,0.894
CMP_00585,Instagram,Beauty,INF_8593,@creator_59832,Mega,1401264.18,2180782.23,1.56,2.43,1.16,0.435
CMP_00586,YouTube,Gaming,INF_5922,@creator_79928,Nano,48697.02,115060.26,2.36,1.361,1.22,0.723
CMP_00587,Instagram,Fintech,INF_3511,@creator_34226,Nano,50599.1,172447.9,3.41,1.921,1.365,0.87
CMP_00588,YouTube,Fashion,INF_9444,@creator_83746,Macro,901189.11,1405691.6,1.56,2.258,1.317,0.871
CMP_00589,Instagram,Fintech,INF_8844,@creator_98031,Micro,124124.23,423318.09,3.41,1.431,1.152,0.385
CMP_00590,Instagram,Food,INF_9627,@creator_14947,Macro,914493.12,2569422.65,2.81,2.099,1.28,0.502
CMP_00591,YouTube,D2C,INF_4346,@creator_66176,Micro,184537.59,400484.13,2.17,1.635,1.318,0.664
CMP_00592,YouTube,Food,INF_5640,@creator_94880,Nano,72934.1,162326.45,2.23,1.294,1.299,1.194
CMP_00593,Instagram,Tech,INF_8631,@creator_49994,Macro,774110.48,2175159.12,2.81,2.405,1.385,0.618
CMP_00594,Instagram,Fintech,INF_5701,@creator_45645,Micro,171151.94,581999.65,3.4,1.225,1.076,0.699
CMP_00595,Instagram,Fintech,INF_9853,@creator_82723,Macro,804785.93,1951530.83,2.42,1.705,1.164,0.671
CMP_00596,YouTube,Beauty,INF_6221,@creator_54813,Nano,73776.89,144944.29,1.96,1.809,1.209,0.975
CMP_00597,Instagram,Tech,INF_5366,@creator_77042,Macro,885121.89,1830082.37,2.07,1.203,1.287,0.381
CMP_00598,YouTube,Fitness,INF_7152,@creator_75548,Macro,354975.37,923333.98,2.6,1.713,1.312,0.841
CMP_00599,Instagram,Fintech,INF_5759,@creator_38067,Micro,82072.37,283637.02,3.46,2.618,1.141,0.698
CMP_00600,Instagram,Fitness,INF_7449,@creator_11725,Micro,97231.95,293933.6,3.02,2.376,1.325,0.72
CMP_00601,Instagram,Fitness,INF_5725,@creator_95597,Micro,106344.29,370658.96,3.49,2.605,1.136,0.998
CMP_00602,YouTube,Fintech,INF_7766,@creator_31686,Micro,154319.75,329725.72,2.14,1.776,1.135,1.05
CMP_00603,Instagram,Food,INF_2019,@creator_54225,Micro,222582.47,720311.17,3.24,1.037,1.279,0.655
CMP_00604,Instagram,Food,INF_2789,@creator_29420,Nano,22619.66,80674.41,3.57,1.473,1.361,0.264
CMP_00605,Instagram,D2C,INF_1104,@creator_17689,Micro,273926.88,682535.42,2.49,1.832,1.302,0.87
CMP_00606,TikTok,Food,INF_9283,@creator_91686,Nano,74447.79,333916.4,4.49,1.245,1.237,0.85
CMP_00607,Instagram,Fintech,INF_3513,@creator_68182,Nano,74695.47,298087.05,3.99,2.108,1.235,0.669
CMP_00608,Instagram,D2C,INF_4960,@creator_93106,Nano,57565.89,219385.71,3.81,2.782,1.227,0.316
CMP_00609,Instagram,Fashion,INF_7802,@creator_67450,Nano,39107.12,156955.48,4.01,2.462,1.151,0.67
CMP_00610,Instagram,Gaming,INF_4770,@creator_15829,Nano,65374.02,253069.6,3.87,1.552,1.367,0.789
CMP_00611,Instagram,Tech,INF_6392,@creator_19795,Mega,1819121.85,5026621.26,2.76,2.56,1.32,0.495
CMP_00612,Instagram,Fashion,INF_3586,@creator_78184,Macro,830197.57,1621521.67,1.95,2.515,1.333,0.809
CMP_00613,Instagram,Fitness,INF_6769,@creator_32117,Nano,26756.55,91504.47,3.42,2.868,1.114,0.44
CMP_00614,Instagram,Beauty,INF_1295,@creator_53013,Macro,403217.74,983876.97,2.44,2.223,1.248,0.865
CMP_00615,Instagram,Fintech,INF_8939,@creator_89472,Nano,76845.68,286931.94,3.73,1.847,1.053,0.496
CMP_00616,Instagram,Fitness,INF_3829,@creator_35017,Micro,245809.71,846807.69,3.44,2.936,1.323,0.309
CMP_00617,Instagram,D2C,INF_2088,@creator_32391,Macro,525714.87,1196787.24,2.28,1.88,1.342,0.94
CMP_00618,TikTok,Fashion,INF_8432,@creator_34714,Micro,151671.5,427041.26,2.82,2.634,1.193,0.632
CMP_00619,TikTok,Fashion,INF_5321,@creator_62137,Mega,1860351.82,7946470.8,4.27,2.75,1.156,0.442
CMP_00620,Instagram,Fitness,INF_2832,@creator_58285,Macro,899628.64,2599215.79,2.89,2.855,1.382,0.621
CMP_00621,Instagram,Beauty,INF_7889,@creator_54674,Nano,29511.21,95236.37,3.23,1.975,1.177,0.627
CMP_00622,TikTok,Food,INF_5529,@creator_82322,Nano,62834.06,324611.7,5.17,1.96,1.191,0.387
CMP_00623,Instagram,Gaming,INF_3421,@creator_74591,Mega,2309814.25,4926268.36,2.13,1.885,1.382,0.453
CMP_00624,Instagram,Fitness,INF_3108,@creator_46382,Micro,121610.51,391629.96,3.22,2.147,1.125,0.978
CMP_00625,Instagram,D2C,INF_7963,@creator_83374,Macro,399858.05,1229172.21,3.07,2.018,1.34,0.505
CMP_00626,YouTube,Fitness,INF_8714,@creator_88467,Nano,29730.24,87082.41,2.93,2.97,1.077,0.752
CMP_00627,Instagram,Food,INF_9080,@creator_98743,Micro,162105.62,606134.42,3.74,1.986,1.253,0.463
CMP_00628,Instagram,Fashion,INF_3022,@creator_25831,Nano,51638.65,191930.01,3.72,1.806,1.256,0.337
CMP_00629,Instagram,Beauty,INF_8690,@creator_27824,Macro,544021.73,1588814.4,2.92,2.444,1.078,0.418
CMP_00630,YouTube,Beauty,INF_3181,@creator_19834,Macro,474931.21,711492.93,1.5,1.131,1.292,0.744
CMP_00631,YouTube,Fashion,INF_8736,@creator_51616,Nano,25371.21,63576.24,2.51,1.868,1.175,0.676
CMP_00632,Instagram,Beauty,INF_1777,@creator_64079,Nano,31774.06,107195.64,3.37,2.38,1.187,0.556
CMP_00633,Instagram,D2C,INF_2046,@creator_12176,Macro,622071.84,1414904.33,2.27,1.387,1.124,0.338
CMP_00634,Instagram,Tech,INF_5483,@creator_81437,Macro,827527.09,2047451.93,2.47,2.911,1.32,0.915
CMP_00635,Instagram,Fashion,INF_8394,@creator_32821,Micro,212881.1,586719.79,2.76,2.743,1.4,0.668
CMP_00636,Instagram,Fintech,INF_8034,@creator_50077,Micro,278318.3,975988.97,3.51,2.115,1.354,0.928
CMP_00637,Instagram,D2C,INF_6080,@creator_91007,Macro,578775.16,1334311.04,2.31,1.994,1.284,0.328
CMP_00638,Instagram,Food,INF_4041,@creator_49159,Nano,77685.05,207183.67,2.67,2.199,1.333,0.346
CMP_00639,TikTok,Gaming,INF_7107,@creator_34188,Micro,227125.72,943577.35,4.15,2.086,1.342,0.273
CMP_00640,Instagram,Fintech,INF_2184,@creator_98263,Macro,885849.48,2732071.88,3.08,2.991,1.058,0.372
CMP_00641,Instagram,Fashion,INF_5091,@creator_56728,Macro,760452.15,1854541.71,2.44,2.918,1.376,0.867
CMP_00642,Instagram,Gaming,INF_6778,@creator_25150,Nano,28917.99,104407.18,3.61,1.912,1.222,0.28
CMP_00643,Instagram,Beauty,INF_2773,@creator_95481,Nano,64904.38,235605.33,3.63,2.923,1.211,0.505
CMP_00644,Instagram,Gaming,INF_1734,@creator_69812,Micro,178911.76,641633.88,3.59,1.377,1.228,0.699
CMP_00645,Instagram,Beauty,INF_9572,@creator_62234,Nano,75192.26,258257.82,3.43,1.11,1.337,0.297
CMP_00646,YouTube,Gaming,INF_3627,@creator_82154,Micro,285157.94,723811.5,2.54,1.976,1.271,0.853
CMP_00647,YouTube,Food,INF_9399,@creator_56716,Micro,194809.7,324503.01,1.67,1.148,1.117,1.057
CMP_00648,Instagram,Tech,INF_7766,@creator_72694,Nano,31274.22,100964.76,3.23,2.25,1.168,0.4
CMP_00649,Instagram,Gaming,INF_8743,@creator_73832,Nano,31369.41,130987.71,4.18,2.353,1.082,0.733
CMP_00650,Instagram,Fashion,INF_7182,@creator_50794,Macro,642023.45,1579342.59,2.46,2.206,1.164,0.989
CMP_00651,YouTube,D2C,INF_3520,@creator_73308,Micro,153191.84,329386.37,2.15,1.877,1.142,0.488
CMP_00652,Instagram,Fashion,INF_5218,@creator_24677,Macro,698496.97,2011815.22,2.88,2.624,1.333,0.361
CMP_00653,YouTube,D2C,INF_7212,@creator_47405,Micro,158652.93,294194.49,1.85,1.555,1.275,0.98
CMP_00654,Instagram,Fintech,INF_1209,@creator_15539,Mega,2155754.16,5648901.28,2.62,2.499,1.388,0.287
CMP_00655,YouTube,Gaming,INF_9733,@creator_43617,Micro,244389.42,559862.33,2.29,1.623,1.157,0.823
CMP_00656,Instagram,D2C,INF_5722,@creator_27772,Nano,61372.05,246700.07,4.02,1.688,1.147,1.023
CMP_00657,Instagram,Food,INF_5995,@creator_74094,Nano,70447.1,239316.05,3.4,1.067,1.178,0.435
CMP_00658,Instagram,Fitness,INF_9095,@creator_47909,Nano,54021.97,196065.23,3.63,2.857,1.069,0.602
CMP_00659,Instagram,Fitness,INF_6977,@creator_82577,Nano,25254.47,78085.1,3.09,2.268,1.37,0.446
CMP_00660,Instagram,Fashion,INF_9370,@creator_61999,Macro,564171.34,1238152.75,2.19,1.89,1.066,0.333
CMP_00661,YouTube,D2C,INF_2340,@creator_36797,Micro,137647.7,258398.55,1.88,2.763,1.362,0.501
CMP_00662,YouTube,Beauty,INF_9625,@creator_49199,Mega,2575861.88,4465896.16,1.73,2.681,1.277,0.584
CMP_00663,TikTok,Fitness,INF_6220,@creator_99670,Nano,64975.97,332188.49,5.11,1.875,1.376,0.617
CMP_00664,Instagram,D2C,INF_6205,@creator_41996,Nano,60734.05,225291.29,3.71,1.784,1.142,0.95
CMP_00665,Instagram,D2C,INF_3793,@creator_12892,Nano,39101.12,142428.83,3.64,1.762,1.397,0.451
CMP_00666,Instagram,Fitness,INF_5320,@creator_77428,Nano,55198.78,205513.98,3.72,2.249,1.279,0.346
CMP_00667,YouTube,Fintech,INF_3314,@creator_47180,Micro,176109.21,343313.23,1.95,1.785,1.192,0.475
CMP_00668,YouTube,Fitness,INF_6520,@creator_71821,Micro,271201.8,700472.25,2.58,2.137,1.204,0.377
CMP_00669,YouTube,Gaming,INF_4037,@creator_41017,Nano,61879.43,139556.33,2.26,2.581,1.154,0.691
CMP_00670,Instagram,Fitness,INF_8902,@creator_55647,Micro,83193.32,258990.84,3.11,2.15,1.191,0.481
CMP_00671,Instagram,Fashion,INF_3538,@creator_62870,Macro,958125.88,2067071.26,2.16,2.784,1.237,0.678
CMP_00672,Instagram,Fintech,INF_4088,@creator_55783,Micro,275319.88,641585.07,2.33,1.209,1.338,0.41
CMP_00673,Instagram,Beauty,INF_9051,@creator_97212,Nano,49436.81,192264.59,3.89,2.698,1.297,0.564
CMP_00674,Instagram,D2C,INF_9107,@creator_70096,Macro,994464.53,2925419.74,2.94,1.261,1.329,0.546
CMP_00675,Instagram,Beauty,INF_5656,@creator_88943,Micro,249175.64,771311.61,3.1,1.894,1.215,0.625
CMP_00676,Instagram,D2C,INF_3083,@creator_56146,Macro,897342.55,2961644.38,3.3,2.727,1.32,0.438
CMP_00677,Instagram,Fintech,INF_1444,@creator_87518,Micro,184578.99,538670.77,2.92,1.727,1.274,0.79
CMP_00678,YouTube,Fintech,INF_2426,@creator_19884,Macro,542011.18,799659.63,1.48,1.343,1.078,0.953
CMP_00679,Instagram,Gaming,INF_5931,@creator_52623,Nano,55898.36,200453.17,3.59,1.062,1.146,0.299
CMP_00680,TikTok,Fitness,INF_1560,@creator_28296,Macro,587566.3,2578963.41,4.39,1.037,1.145,0.943
CMP_00681,Instagram,Gaming,INF_8358,@creator_63084,Macro,617283.24,1320336.02,2.14,2.584,1.344,0.659
CMP_00682,Instagram,Fashion,INF_8416,@creator_73985,Micro,102985.67,359889.94,3.49,2.441,1.291,0.395
CMP_00683,YouTube,Tech,INF_1922,@creator_24925,Nano,46890.25,107965.53,2.3,2.273,1.127,0.936
CMP_00684,Instagram,Tech,INF_2666,@creator_30895,Nano,68081.12,193649.87,2.84,1.821,1.131,0.612
CMP_00685,YouTube,Gaming,INF_9664,@creator_60110,Micro,267220.83,528249.01,1.98,2.554,1.144,0.967
CMP_00686,TikTok,Fashion,INF_7651,@creator_81200,Micro,102165.63,417716.72,4.09,2.415,1.061,0.646
CMP_00687,TikTok,Food,INF_4675,@creator_48725,Micro,120303.61,387004.19,3.22,2.286,1.165,0.63
CMP_00688,TikTok,Gaming,INF_4514,@creator_85526,Nano,40002.07,212837.03,5.32,1.898,1.25,0.564
CMP_00689,YouTube,Fintech,INF_4963,@creator_96862,Micro,197232.82,447559.49,2.27,2.862,1.383,0.67
CMP_00690,Instagram,Fitness,INF_4397,@creator_67417,Mega,1459404.63,2646734.82,1.81,1.479,1.18,0.447
CMP_00691,TikTok,Fashion,INF_5349,@creator_50768,Nano,34853.87,150457.85,4.32,2.615,1.317,0.778
CMP_00692,YouTube,Fashion,INF_3575,@creator_72389,Micro,294223.37,586293.45,1.99,2.327,1.193,0.592
CMP_00693,Instagram,Fashion,INF_5692,@creator_90522,Mega,2969900.63,7346864.24,2.47,1.058,1.168,0.33
CMP_00694,Instagram,Fintech,INF_9533,@creator_40531,Nano,56943.56,197161.89,3.46,2.382,1.191,0.844
CMP_00695,Instagram,Tech,INF_7334,@creator_65162,Nano,75264.17,277418.79,3.69,1.642,1.138,0.706
CMP_00696,YouTube,Food,INF_2389,@creator_21322,Nano,77767.09,175877.19,2.26,1.253,1.197,0.669
CMP_00697,YouTube,Fitness,INF_7976,@creator_87339,Mega,2605121.5,2881313.11,1.11,1.973,1.154,0.758
CMP_00698,Instagram,Beauty,INF_3296,@creator_59386,Macro,348293.01,1070905.14,3.07,2.992,1.151,0.353
CMP_00699,Instagram,Food,INF_8972,@creator_60385,Nano,32436.95,113717.11,3.51,1.756,1.161,0.687
CMP_00700,Instagram,Fitness,INF_2188,@creator_59892,Macro,839726.86,2640395.46,3.14,1.87,1.381,0.667
CMP_00701,Instagram,Fitness,INF_1267,@creator_59044,Nano,64004.11,176899.21,2.76,2.743,1.117,0.394
CMP_00702,Instagram,Fitness,INF_5858,@creator_89027,Macro,442095.49,1239858.84,2.8,1.904,1.329,0.591
CMP_00703,YouTube,Food,INF_2250,@creator_34561,Nano,60640.51,111334.54,1.84,1.049,1.194,0.622
CMP_00704,TikTok,Food,INF_4483,@creator_99595,Macro,801304.15,2573707.95,3.21,1.408,1.137,0.681
CMP_00705,Instagram,Tech,INF_7302,@creator_42314,Nano,65504.22,177723.27,2.71,1.044,1.336,0.309
CMP_00706,YouTube,Fintech,INF_5038,@creator_19244,Macro,712255.22,1247071.56,1.75,2.041,1.31,0.702
CMP_00707,Instagram,Beauty,INF_8910,@creator_12693,Nano,55267.72,196267.74,3.55,2.695,1.204,0.257
CMP_00708,YouTube,Food,INF_1036,@creator_93707,Nano,70486.39,185743.27,2.64,2.235,1.276,0.394
CMP_00709,YouTube,D2C,INF_1661,@creator_50741,Nano,79589.25,199142.92,2.5,2.517,1.328,0.947
CMP_00710,TikTok,Food,INF_7454,@creator_88424,Nano,64804.6,238141.15,3.67,2.716,1.223,0.453
CMP_00711,Instagram,Fitness,INF_5759,@creator_24179,Micro,278795.93,1002505.65,3.6,1.222,1.112,0.503
CMP_00712,Instagram,Gaming,INF_1815,@creator_75451,Micro,107482.36,347486.34,3.23,1.053,1.054,0.745
CMP_00713,Instagram,Tech,INF_8283,@creator_91481,Macro,683880.66,1822233.97,2.66,1.395,1.161,0.477
CMP_00714,Instagram,Fintech,INF_1347,@creator_34741,Micro,292929.72,1148396.84,3.92,2.726,1.207,0.324
CMP_00715,Instagram,Fashion,INF_3274,@creator_94390,Nano,45406.33,127120.09,2.8,2.03,1.11,0.807
CMP_00716,TikTok,Gaming,INF_2387,@creator_79810,Nano,77374.76,316216.0,4.09,2.533,1.389,0.609
CMP_00717,Instagram,Tech,INF_2348,@creator_64708,Macro,521900.68,1635753.1,3.13,2.7,1.346,0.577
CMP_00718,Instagram,Food,INF_6315,@creator_12347,Nano,41016.34,152894.71,3.73,1.904,1.097,0.344
CMP_00719,Instagram,Tech,INF_1607,@creator_32553,Micro,82535.72,237616.79,2.88,1.261,1.158,0.418
CMP_00720,Instagram,Fitness,INF_7103,@creator_82219,Nano,34804.85,112772.15,3.24,1.9,1.058,0.692
CMP_00721,YouTube,Beauty,INF_8211,@creator_37360,Nano,53904.34,123085.0,2.28,2.717,1.091,0.994
CMP_00722,Instagram,Beauty,INF_4598,@creator_57800,Macro,438477.1,1474021.65,3.36,2.687,1.121,0.825
CMP_00723,YouTube,Tech,INF_9422,@creator_50318,Nano,51210.84,118284.21,2.31,1.59,1.055,0.46
CMP_00724,TikTok,Tech,INF_6397,@creator_40048,Micro,252029.58,882036.25,3.5,1.311,1.187,0.443
CMP_00725,Instagram,Tech,INF_8652,@creator_18680,Nano,33894.98,117333.88,3.46,1.362,1.334,0.371
CMP_00726,Instagram,Food,INF_2118,@creator_83167,Micro,293890.54,955525.61,3.25,1.307,1.307,0.294
CMP_00727,Instagram,Fashion,INF_2193,@creator_59220,Micro,112673.83,288527.71,2.56,1.828,1.219,0.439
CMP_00728,YouTube,Tech,INF_7127,@creator_72471,Micro,177704.86,361986.08,2.04,2.563,1.288,0.941
CMP_00729,YouTube,Beauty,INF_5412,@creator_97363,Nano,77352.2,212078.31,2.74,2.468,1.282,0.829
CMP_00730,Instagram,Gaming,INF_3989,@creator_33446,Macro,571685.02,1057123.7,1.85,1.191,1.37,0.362
CMP_00731,YouTube,D2C,INF_9218,@creator_23782,Nano,69692.77,136098.46,1.95,1.341,1.364,0.951
CMP_00732,TikTok,Tech,INF_7875,@creator_63583,Nano,46639.29,174054.39,3.73,1.349,1.12,0.695
CMP_00733,YouTube,Beauty,INF_8496,@creator_94579,Nano,33291.63,80756.87,2.43,1.927,1.215,1.098
CMP_00734,YouTube,Fitness,INF_6790,@creator_85706,Micro,81907.2,185060.87,2.26,2.855,1.073,0.591
CMP_00735,YouTube,Fintech,INF_6611,@creator_84968,Nano,44481.21,106546.41,2.4,2.375,1.137,0.936
CMP_00736,TikTok,Fashion,INF_6703,@creator_73115,Macro,831319.63,2873053.87,3.46,2.023,1.275,0.474
CMP_00737,YouTube,Food,INF_7041,@creator_69622,Micro,174708.59,381934.79,2.19,1.934,1.134,1.035
CMP_00738,Instagram,Fitness,INF_9954,@creator_56359,Micro,173500.53,525197.56,3.03,1.551,1.143,0.631
CMP_00739,YouTube,Food,INF_2906,@creator_28105,Micro,130111.24,262046.1,2.01,2.168,1.18,0.685
CMP_00740,TikTok,Fitness,INF_3322,@creator_60100,Mega,1995952.61,4865807.54,2.44,2.108,1.246,0.59
